CLASSE;ORDRE;FAMILLE;NOM SCIENTIFIQUE de l'espèce;NOM COMMUN (vernaculaire) de l'espèce
Aves;Apodiformes;Trochilidae;Abeillia abeillei;Colibri d'Abeillé
Reptilia;Squamata;Anguidae;Abronia anzuetoi;Lézard arboricole anzuetoi
Reptilia;Squamata;Anguidae;Abronia aurita;Lézard arboricole aurita
Reptilia;Squamata;Anguidae;Abronia bogerti;Lézard arboricole bogerti
Reptilia;Squamata;Anguidae;Abronia campbelli;Lézard arboricole campbelli
Reptilia;Squamata;Anguidae;Abronia chiszari;Lézard arboricole chiszari
Reptilia;Squamata;Anguidae;Abronia cuetzpali;Lézard arboricole cuetzpali
Reptilia;Squamata;Anguidae;Abronia deppii;Lézard Abronie de Deppe
Reptilia;Squamata;Anguidae;Abronia fimbriata;Lézard arboricole fimbriata
Reptilia;Squamata;Anguidae;Abronia frosti;Lézard arboricole frosti
Reptilia;Squamata;Anguidae;Abronia fuscolabialis;Lézard arboricole fuscolabialis
Reptilia;Squamata;Anguidae;Abronia gaiophantasma;Lézard arboricole gaiophantasma
Reptilia;Squamata;Anguidae;Abronia graminea;Lézard crocodile
Reptilia;Squamata;Anguidae;Abronia leurolepis;Lézard arboricole leurolepis
Reptilia;Squamata;Anguidae;Abronia lythrochila;Lézard arboricole lythrochila
Reptilia;Squamata;Anguidae;Abronia martindelcampoi;Lézard arboricole martindelcampoi
Reptilia;Squamata;Anguidae;Abronia matudai;Lézard arboricole matudai
Reptilia;Squamata;Anguidae;Abronia meledona;Lézard arboricole meledona
Reptilia;Squamata;Anguidae;Abronia mitchelli;Lézard arboricole de Mitchell
Reptilia;Squamata;Anguidae;Abronia mixteca;Lézard arboricole mixteca
Reptilia;Squamata;Anguidae;Abronia montecristoi;Lézard arboricole de MonteChristo
Reptilia;Squamata;Anguidae;Abronia oaxacae;Lézard arboricole oaxacae
Reptilia;Squamata;Anguidae;Abronia ochoterenai;Lézard arboricole ochoterenai
Reptilia;Squamata;Anguidae;Abronia ornelasi;Lézard arboricole d'Ornela
Reptilia;Squamata;Anguidae;Abronia ramirezi;Lézard arboricole de ramirez
Reptilia;Squamata;Anguidae;Abronia reidi;Lézard arboricole de Reid
Reptilia;Squamata;Anguidae;Abronia salvadorensis;Lézard arboricole du Salvador
Reptilia;Squamata;Anguidae;Abronia smithi;Lézard arboricole de Smith
Reptilia;Squamata;Anguidae;Abronia taeniata;Lézard arboricole taeniata
Reptilia;Squamata;Anguidae;Abronia vasconcelosii;Lézard arboricole vasconcelosii
Aves;Falconiformes;Accipitridae;Accipiter albogularis;Autour pie
Aves;Falconiformes;Accipitridae;Accipiter badius;Épervier shikra
Aves;Falconiformes;Accipitridae;Accipiter bicolor;Epervier bicolore 
Aves;Falconiformes;Accipitridae;Accipiter brachyurus;Épervier de Nouvelle-Bretagne
Aves;Falconiformes;Accipitridae;Accipiter brevipes;Épervier à pieds courts
Aves;Falconiformes;Accipitridae;Accipiter butleri;Épervier des Nicobar
Aves;Falconiformes;Accipitridae;Accipiter castanilius;Autour à flancs roux
Aves;Falconiformes;Accipitridae;Accipiter chionogaster;Épervier à poitrine blanche
Aves;Falconiformes;Accipitridae;Accipiter cirrocephalus;Épervier à collier roux
Aves;Falconiformes;Accipitridae;Accipiter collaris;Épervier à collier interrompu
Aves;Falconiformes;Accipitridae;Accipiter cooperii;Épervier de Cooper
Aves;Falconiformes;Accipitridae;Accipiter erythrauchen;Épervier à gorge grise
Aves;Falconiformes;Accipitridae;Accipiter erythronemius;Épervier à cuisses rouges
Aves;Falconiformes;Accipitridae;Accipiter erythropus;Autour minulle
Aves;Falconiformes;Accipitridae;Accipiter fasciatus;Autour australien
Aves;Falconiformes;Accipitridae;Accipiter francesii;Épervier de Frances
Aves;Falconiformes;Accipitridae;Accipiter gentilis;Autour des palombes
Aves;Falconiformes;Accipitridae;Accipiter griseiceps;Autour des Célèbes
Aves;Falconiformes;Accipitridae;Accipiter gularis;Épervier du Japon
Aves;Falconiformes;Accipitridae;Accipiter gundlachi;Épervier de Cuba
Aves;Falconiformes;Accipitridae;Accipiter haplochrous;Autour à ventre blanc
Aves;Falconiformes;Accipitridae;Accipiter henicogrammus;Autour des Moluques
Aves;Falconiformes;Accipitridae;Accipiter henstii;Autour de Henst
Aves;Falconiformes;Accipitridae;Accipiter imitator;Autour imitateur
Aves;Falconiformes;Accipitridae;Accipiter luteoschistaceus;Autour bleu et gris
Aves;Falconiformes;Accipitridae;Accipiter madagascariensis;Épervier de Madagascar
Aves;Falconiformes;Accipitridae;Accipiter melanochlamys;Autour à manteau noir
Aves;Falconiformes;Accipitridae;Accipiter melanoleucus;Autour noir
Aves;Falconiformes;Accipitridae;Accipiter meyerianus;Autour de Meyer
Aves;Falconiformes;Accipitridae;Accipiter minullus;Épervier minule
Aves;Falconiformes;Accipitridae;Accipiter nanus;Épervier des Célèbes
Aves;Falconiformes;Accipitridae;Accipiter nisus;Épervier d'Europe
Aves;Falconiformes;Accipitridae;Accipiter novaehollandiae;Autour blanc
Aves;Falconiformes;Accipitridae;Accipiter ovampensis;Épervier de l'Ovampo
Aves;Falconiformes;Accipitridae;Accipiter poliocephalus;Autour à tête grise
Aves;Falconiformes;Accipitridae;Accipiter poliogaster;Autour à ventre gris 
Aves;Falconiformes;Accipitridae;Accipiter princeps;Autour de Mayr
Aves;Falconiformes;Accipitridae;Accipiter rhodogaster;Épervier à poitrine rousse
